path,role,bytes,sha256,publish_policy,notes
fingerprint_localization/docs/location_distance_54points.csv,location map,6573,3a633a1e3f9580545c807bd7a98942072e9700a738ff87df391137ce64f7a360,git,point 2_14 is corrected to OLOS
fingerprint_localization/data/mainline_202607/inputs/rssi_plus_packet_level_54points.csv,mainline original RSSI packet features,243028,3eb7eb798180c0ee4a0f3e00f93e81cc526f0ef083bbab13e011d2096bb7e3d0,git,small trusted input
fingerprint_localization/data/mainline_202607/inputs/lora_frequency_s17_54points.csv,mainline original LoRa raw-bin features,328186,89f71f0b7f4106b661a8a0d088e42a79c98101a36e6665aa0bb942fa472616f7,git,small trusted input
fingerprint_localization/data/mainline_202607/features/chirp_point_multipath_structure_features.csv,offline chirp structure prior,7052,9a3a90fbd15f6a929129857ca5e7561da703392537267168f1d0fc562f6defbb,git,16 measured chirp locations plus interpolated or fallback coverage
fingerprint_localization/data/mainline_202607/external/subbin_spectrum_long.csv,original q1 q4 LoRa spectrum input,41160591,616431024fd2288ac5cc23d768097f89490633c330666437ca7dc676d0772e72,release,required to rebuild the noisy pool
fingerprint_localization/experiments/aco_source_safe_1to10/data/noisy_rssi_plus_packet_level_54points.csv,legacy noisy pool RSSI,2753846,2754e3140f87f6d10669131276b61658ed7ab4720decd7377fb37387614a5108,regenerate,input pool only; legacy split results are not paper results
fingerprint_localization/experiments/aco_source_safe_1to10/data/noisy_lora_frequency_s17_54points.csv,legacy noisy pool raw bins,2987329,e0184d3eaa75a3b2ed931952beaa41d7e292a4b0b35727ef453251ecaf5c0cc7,regenerate,input pool only; legacy split results are not paper results
fingerprint_localization/experiments/aco_source_safe_1to10/data/noisy_subbin_spectrum_long.csv,legacy noisy pool spectrum,429926343,b62de010fec0e285182a36d48caab0822b894bc544c8eaab243e4df94f33f0f1,regenerate,do not commit to ordinary Git
fingerprint_localization/data/mainline_202607/splits/source_safe/source_packet_split.csv,frozen source-safe split manifest,10665,872d85404f1fb9f5f5dcfd6230f12eeebf531369621b1b875ee5de4b93061197,git,seed 20260626; source counts 223 73 74
fingerprint_localization/data/mainline_202607/splits/source_safe/group_safe_metadata.json,source-safe split metadata,1972,de7e40df10053443cf2f4fa831d834302f514638a3abbfe88edab625ce6db6fa,git,portable repository-relative provenance paths
fingerprint_localization/experiments/aco_source_safe_1to10/group_safe_1to10/data/noisy_rssi_plus_packet_level_54points.csv,source-safe RSSI dataset,594721,0f3540b6eb86d62826e79fec6ef04553351653f490abe7101d0edd9369135318,regenerate,generated by build_group_safe_1to10_data.py
fingerprint_localization/experiments/aco_source_safe_1to10/group_safe_1to10/data/noisy_lora_frequency_s17_54points.csv,source-safe raw-bin dataset,1933467,8d82e44230efc172a219292a2ade8e69e1d5ba419bb6ba3238a0509a72887fd9,regenerate,generated by build_group_safe_1to10_data.py
fingerprint_localization/experiments/aco_source_safe_1to10/group_safe_1to10/data/noisy_subbin_spectrum_long.csv,source-safe spectrum dataset,276886684,aeee2c883a00bd8097020a1d0ba792f2797647da7a1e877c797950b267c80793,regenerate,do not commit to ordinary Git
fingerprint_localization/data/mainline_202607/splits/refit/refit_metadata.json,final refit protocol metadata,1113,04ff31ddda82763047cb07d2cba8939f80ee3d635eae4ebfaf643172d5b3e488,git,validation rows are diagnostic and overlap refit train
fingerprint_localization/data/mainline_202607/splits/refit/split_assignments.csv,final refit assignment manifest,168887,9993efb91f98f9125bf9226ed5b1c76e926e65d64cf954738848aeee469b117e,git,2960 train 73 diagnostic val 74 test
fingerprint_localization/experiments/aco_source_safe_1to10/group_safe_trainval_refit/data/noisy_rssi_plus_packet_level_54points.csv,final refit RSSI dataset,778102,c2971a9d63c2c3efa95fc5e43c859ca469d76a890f167377f602d02d617b87aa,release_or_regenerate,include in quick handoff data package
fingerprint_localization/experiments/aco_source_safe_1to10/group_safe_trainval_refit/data/noisy_lora_frequency_s17_54points.csv,final refit raw-bin dataset,2524642,d7bab05a281cbed4c739fc34083c3ef1412d85c02bd9024dfa07396c3e592fd2,release_or_regenerate,include in quick handoff data package
fingerprint_localization/experiments/aco_source_safe_1to10/group_safe_trainval_refit/data/noisy_subbin_spectrum_long.csv,final refit spectrum dataset,361821734,5f6a69b881768e2f89b07392f27a7bed3154d99ab621db9526a28c5ea72fb5e6,release_or_regenerate,include in quick handoff data package; never ordinary Git
fingerprint_localization/experiments/aco_source_safe_1to10/results/frozen/refit_comparison_summary.json,final comparison summary,1049,1990b5c2ce8039a379b996b54a656934671ea5e74087072c5608d46a5261dcfd,git,compact paper evidence
fingerprint_localization/experiments/aco_source_safe_1to10/results/frozen/aco_v4_summary.csv,final ACO v4 summary,1726,dd0151ed5fa10aa45c7618bcb24ba05794c128a9e428f3993c92f20d25f125a1,git,test 67 of 74
fingerprint_localization/experiments/aco_source_safe_1to10/results/frozen/test_predictions.csv,final packet predictions,16217,0bbde5ceb9b54d57c78b410d1406a966b5fcc8eb335909c819c023ffaa53b1fe,git,required for error analysis
fingerprint_localization/experiments/aco_source_safe_1to10/results/ablations/lora_only/lora_only_vs_mainline_summary.csv,no-chirp ablation summary,506,6ec6be4b46d9c1bab0cc641af6205084659e0a31db510104c55b47cb0f44f1db,git,LoRa-only loses one test packet
